Project Name,Owner,Developer,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C of O Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount, of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Carol's House,Accessible Housing Austin!,Accessible Housing Austin!,1805 Heatherglen Lane,78758,7,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,6/26/2009 0:00,99,6/26/2008 0:00,,,,,0,0,1,0,0,0,0,0,140000,0,No,No,No,No,No,No,No,No,No,No,"(30.395171409567499, -97.701642388811393)"
Palms at North Lamar,"TMG - TX Austin I, L.P.",TMG - TX Austin I,8600 N Lamar Boulevard,78753,4,Very Low,1/4 Mile,476,215,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/10/2010 0:00,99,6/10/2009 0:00,,,,,22,0,193,0,0,0,0,261,3000000,1072.02,No,No,No,No,No,No,No,No,No,No,"(30.354653308810501, -97.704330445112006)"
Legacy Apartments,Mary Lee Community,Mary Lee Foundation,1340 Lamar Square Drive,78704,5,Very High,1/4 Mile,40,40,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/19/2013 0:00,99,8/19/2012 0:00,9/24/2010,8/16/2013,,,0,0,36,0,0,4,0,0,2001710,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2547309646977, -97.7642027614895)"
Guadalupe Court Apartments,NMF VI,Austin Travis County Integral Care,6607 Guadalupe Street,78752,4,Low,1/4 Mile,15,15,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/18/2006 0:00,10,5/18/2016 0:00,,,,,0,0,15,0,0,0,0,0,180000,167.78,No,No,No,No,No,No,No,No,No,No,"(30.332539118709199, -97.717693669323793)"
Benjamin Todd Apartments,NMF VII,Austin Travis County Integral Care,1507 W 39th 1/2 Street,78756,10,Low,1/4 Mile,21,21,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,7/26/2006 0:00,10,7/26/2016 0:00,,,,,0,0,21,0,0,0,0,0,250000,660.06,No,No,No,No,No,No,No,No,No,No,"(30.309299430208501, -97.7470630801851)"
City View at the Park,"Parker Lane Senior Apartments, L.P.","Parker Lane Senior Apartments, L.P.",2000 Woodward Street,78741,3,Very Low,Neither,70,68,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/20/2011 0:00,20,12/20/2031 0:00,,,,,7,0,0,61,0,0,0,0,299000,2185.63,No,No,No,No,No,No,No,No,No,No,"(30.2184855516517, -97.743421327255405)"
Lyons Gardens,"Rosewood I Senior Housing Community, Inc.","DMA Development Company, LLC",2720 Lyons Road,78702,3,Very Low,1/4 Mile,54,53,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,4/29/2003 0:00,20,4/29/2023 0:00,,,,,0,0,53,0,0,0,0,1,800000,599,No,No,No,No,No,No,No,No,No,No,"(30.264579341054102, -97.709189342292206)"
Marshall Apartments,"Marshall Affordable Partners, Ltd.","Marshall Affordable Partners, Ltd.",1401 E 12th Street,78702,1,Very Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/9/2011 0:00,99,8/9/2010 0:00,,,,,0,0,100,0,0,0,0,0,2500000,369.56,No,No,No,No,No,No,No,No,No,No,"(30.272703760757398, -97.724830493911099)"
Elm Ridge Apartments,"Elm Ridge Affordable Partners, Ltd.","Elm Ridge Affordable Partners, Ltd.",1161 Harvey Street,78702,1,Very Low,1/4 Mile,130,130,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/17/2010 0:00,99,2/17/2009 0:00,,,,,0,0,130,0,0,0,0,0,2500000,299.56,No,No,No,No,No,No,No,No,No,No,"(30.274889587304799, -97.702419449934297)"
The Boulevard,UCP Austin Housing I,Easter Seals of Central Texas,1201 Grove Boulevard,78741,3,Very Low,Neither,6,6,Multifamily,RHDA,Rental,Affordability Period Expired,10/28/2005 0:00,10,10/28/2015 0:00,,,,,0,0,6,0,0,0,0,0,181717,228.46,No,No,No,No,No,No,No,No,No,No,"(30.234191480345601, -97.704022527277104)"
Allandale Condos,UCP Austin Housing II,Easter Seals of Central Texas,7685 Northcross Drive,78757,7,Very Low,Neither,10,10,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/26/2007 0:00,40,11/26/2047 0:00,,,,,0,0,10,0,0,0,0,0,500000,0,No,No,No,No,No,No,No,No,No,No,"(30.354219381647301, -97.735693646242595)"
Saint Louise House II,VinCare Services of Austin Foundation,VinCare Services of Austin Foundation,Undisclosed,78745,5,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/28/2008 0:00,99,5/28/2007 0:00,,,,,0,0,22,0,0,0,0,0,1765294,105.84,No,No,No,No,No,No,No,No,No,No,"(30.210936383651902, -97.803931496191893)"
Manor House,Volunteers of America - Texas,Volunteers of America - Texas,5905 Manor Road,78723,1,Very Low,1/4 Mile,11,11,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/24/2001 0:00,20,8/24/2021 0:00,,,,,0,0,11,0,0,0,0,0,260960,278.7,No,No,No,No,No,No,Yes,No,No,No,"(30.306600379559299, -97.679408608741696)"
Oak Springs Villas,Oak Springs Villas,Volunteers of America - Texas,3001 Oak Springs Drive,78702,3,Very Low,1/4 Mile,56,56,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/15/2003 0:00,20,5/15/2023 0:00,,,,,0,0,56,0,0,0,0,0,466715,789.07,No,No,No,No,No,No,No,No,No,No,"(30.272699133730601, -97.701260651230399)"
Spring Terrace Apartments,Spring Terrace Housing Corporation,"Foundation Communities, Inc.",7101 N IH-35,78752,4,Very Low,Neither,140,140,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/20/2005 0:00,99,12/20/2004 0:00,,,,,0,0,140,0,0,0,0,0,1079292,0,No,No,No,No,No,No,No,No,No,No,"(30.331490713863602, -97.703180006529905)"
1100 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1100 E 10th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/2001 0:00,20,2/27/2021 0:00,,,,,0,0,0,0,0,1,0,0,25000,963.6,No,No,No,No,No,No,No,No,No,No,"(30.268439068383302, -97.7293401878146)"
1112 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1112 E 10th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/2001 0:00,20,2/27/2021 0:00,,,,,0,0,0,0,0,1,0,0,25000,0,No,No,No,No,No,No,No,No,No,No,"(30.2682052936843, -97.7282647529115)"
1002 Navasota,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Navasota,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/2001 0:00,20,2/27/2021 0:00,,,,,0,0,0,0,0,1,0,0,25000,0,No,No,No,No,No,No,No,No,No,No,"(30.267718565942602, -97.726720428637407)"
1007 Waller Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1007 Waller Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/2001 0:00,20,2/27/2021 0:00,,,,,0,0,0,0,0,1,0,0,25000,0,No,No,No,No,No,No,No,No,No,No,"(30.2686462542793, -97.729282096432897)"
110 Chicon Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,110 Chicon Street,78702,3,Very Low,1/4 Mile,2,2,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,3/31/2003 0:00,20,3/31/2023 0:00,,,,,0,0,0,0,0,2,0,0,65000,100,No,No,No,No,No,No,No,No,No,No,"(30.257945181452101, -97.724533291876298)"
La Vista de Guadalupe,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,813 E 8th Street,78702,1,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/20/2008 0:00,40,8/27/2047 0:00,,,,,3,0,18,1,0,0,0,0,2138239,200.62,No,No,No,No,No,No,No,No,No,No,"(30.267118976130799, -97.733007217926399)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5908 Ventus Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,0,0,1,0,0,160687.5,228.69,No,No,No,No,No,No,Yes,No,No,No,"(30.258642116622301, -97.684788596693707)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5921 Ventus Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,1,0,0,0,0,160687.5,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2581281793287, -97.684659426900893)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5916 Lux Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,1,0,0,0,0,160687.5,0,No,No,No,No,No,No,Yes,No,No,No,"(30.259133156249199, -97.684190706618196)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5929 Lux Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,1,0,0,0,0,160687.5,0,No,No,No,No,No,No,Yes,No,No,No,"(30.258630468790599, -97.684129443252999)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1129 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,2,0,0,0,0,160687.5,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1133 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009 0:00,40,11/11/2049 0:00,,,,,0,0,0,2,0,0,0,0,160687.5,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
7314 Meador Avenue,Neighborhood Housing Services of Austin,Neighborhood Housing Services of Austin,7314 Meador Avenue,78752,4,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,10/16/2012 0:00,20,10/16/2032 0:00,,,,,0,0,2,0,0,0,0,0,231250,0,No,No,No,No,No,No,No,No,No,No,"(30.331487152648101, -97.695256354234999)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/25/2011 0:00,10,10/25/2021 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,2484534,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293499983426699, -97.648344480400098)"
Watersedge PUD,"MAK Marshall Ranch, L.P.","MAK Marshall Ranch, L.P.",,,,,Neither,2000,600,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,2/15/2005,,,,0,0,0,0,0,600,0,1400,0,,No,No,No,No,No,Yes,Yes,No,No,No,
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/16/2011 0:00,10,11/16/2021 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294871761634699, -97.647121885984305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,1/19/2012 0:00,10,1/19/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.292995476370699, -97.648366755814806)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/3/2013 0:00,10,10/3/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2938823456861, -97.647793200222395)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/14/2013 0:00,10,10/14/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294578502259899, -97.647311626621004)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/7/2013 0:00,10,10/7/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294298225375002, -97.648054011145902)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/7/2013 0:00,10,10/7/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296688858328601, -97.647017650790701)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/17/2013 0:00,10,10/17/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2947206090744, -97.647873073132104)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013 0:00,10,12/19/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294659987279399, -97.646467453491894)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013 0:00,10,12/19/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2965722986396, -97.647095188865094)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013 0:00,10,12/19/2023 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293577155769199, -97.647925521773999)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,1/19/2014 0:00,10,1/19/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2960546507591, -97.647002276853897)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/20/2014 0:00,10,2/20/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293766329921102, -97.648238025933907)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/24/2014 0:00,10,2/24/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296841985475002, -97.646976241666493)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/4/2014 0:00,10,3/4/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293901389541201, -97.648188850424404)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/5/2014 0:00,10,3/5/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294433717646999, -97.648025487936295)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/19/2014 0:00,10,3/19/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293449069244399, -97.647966199580594)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/26/2014 0:00,10,3/26/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.29644159027, -97.647181361305002)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/27/2014 0:00,10,5/27/2024 0:00,11/24/2013,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296276504270701, -97.64682279246)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/28/2014 0:00,10,5/28/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2940333084006, -97.648160426939199)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/28/2014 0:00,10,5/28/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293862187431301, -97.647240757265706)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/19/2014 0:00,10,6/19/2024 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.294166507240501, -97.648090701533604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/9/2012 0:00,10,10/9/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293216578636802, -97.648492674627803)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/2/2012 0:00,10,11/2/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293387341456199, -97.648438386307305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/9/2012 0:00,10,11/9/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293278306624298, -97.648020488771095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/1/2012 0:00,10,11/1/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293635188799101, -97.648303573338595)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/27/2012 0:00,10,2/27/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.293697807740902, -97.647872626536895)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/14/2012 0:00,10,2/14/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.2959238561481, -97.647084330999604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/30/2012 0:00,10,8/30/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296167004602101, -97.646895981860098)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/31/2012 0:00,10,8/31/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296407385036101, -97.646744855638403)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/20/2012 0:00,10,7/20/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296534318877502, -97.646650515235095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/31/2012 0:00,10,7/31/2022 0:00,11/24/2003,,,,0,0,0,0,0,1,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,"(30.296662059050298, -97.646593330749795)"
